"Season","Team","G","PA","AB","R","H","AVG","OBP","SLG","OPS","ISO","1B","2B","3B","HR","BB","SO","SB","CS","wOBA","wRC+","WAR"
"2007","NYY","2366","6528","5717","968","1656",".290",".366",".463",".829",".174","1097","326","32","201","637","991","123","40",".361","119","33.9"
"2007","BOS","2278","6426","5589","867","1561",".279",".362",".444",".806",".165","1008","352","35","166","689","1042","96","24",".352","109","29.7"
"2007","PHI","2446","6537","5688","892","1558",".274",".354",".458",".812",".184","978","326","41","213","641","1205","138","19",".351","105","34.9"
"2007","DET","2269","6364","5757","887","1652",".287",".345",".458",".802",".171","1073","352","50","177","474","1054","103","30",".347","108","30.7"
"2007","COL","2407","6498","5691","860","1591",".280",".354",".437",".791",".158","1071","313","36","171","622","1152","100","31",".346","97","23.1"
"2007","FLA","2423","6344","5627","790","1504",".267",".336",".448",".784",".181","925","340","38","201","521","1332","105","34",".340","101","20.7"
"2007","MIL","2330","6238","5554","801","1455",".262",".329",".456",".785",".194","877","310","37","231","501","1137","96","32",".337","100","25.1"
"2007","ATL","2398","6374","5689","810","1562",".275",".339",".435",".774",".160","1031","328","27","176","534","1149","64","30",".337","99","27.2"
"2007","NYM","2335","6344","5605","804","1543",".275",".342",".432",".775",".157","1045","294","27","177","549","981","200","46",".336","100","27.7"
"2007","CLE","2225","6367","5604","811","1504",".268",".343",".428",".771",".159","994","305","27","178","590","1202","72","41",".336","104","21.7"
"2007","TBD","2229","6280","5593","782","1500",".268",".336",".433",".769",".165","986","291","36","187","545","1324","131","48",".335","103","17.6"
"2007","CIN","2383","6332","5607","783","1496",".267",".335",".436",".772",".170","976","293","23","204","536","1113","97","31",".335","94","15.5"
"2007","SEA","2338","6209","5684","794","1629",".287",".337",".425",".762",".138","1170","284","22","153","389","861","81","30",".333","103","15.3"
"2007","LAA","2230","6198","5554","822","1578",".284",".345",".417",".762",".133","1108","324","23","123","507","883","139","55",".333","100","21.6"
"2007","TEX","2313","6214","5555","816","1460",".263",".328",".426",".754",".163","947","298","36","179","503","1224","88","25",".329","94","15.1"
"2007","CHC","2379","6268","5643","752","1530",".271",".333",".422",".754",".150","1011","340","28","151","500","1054","86","33",".329","90","21.1"
"2007","OAK","2220","6365","5577","741","1430",".256",".338",".407",".745",".151","948","295","16","171","664","1119","52","20",".328","99","17.2"
"2007","BAL","2348","6264","5631","756","1529",".272",".333",".412",".746",".141","1051","306","30","142","500","939","144","42",".327","95","15.1"
"2007","STL","2440","6211","5529","725","1513",".274",".337",".405",".743",".132","1080","279","13","141","506","909","56","33",".326","94","18.0"
"2007","TOR","2308","6197","5536","753","1434",".259",".327",".419",".746",".160","901","344","24","165","533","1044","57","22",".326","95","16.2"
"2007","LAD","2417","6282","5614","735","1544",".275",".337",".406",".743",".131","1104","276","35","129","511","864","137","50",".326","94","16.8"
"2007","HOU","2409","6324","5605","723","1457",".260",".330",".412",".742",".152","967","293","30","167","547","1043","65","33",".325","92","12.4"
"2007","PIT","2304","6214","5569","724","1463",".263",".325",".411",".736",".149","962","322","31","148","463","1135","68","30",".322","90","12.5"
"2007","ARI","2305","6101","5398","712","1350",".250",".321",".413",".734",".163","853","286","40","171","532","1111","109","24",".320","82","10.0"
"2007","SDP","2334","6326","5612","741","1408",".251",".322",".411",".732",".160","884","322","31","171","557","1229","55","24",".320","96","15.8"
"2007","MIN","2259","6161","5522","718","1460",".264",".330",".391",".721",".127","1033","273","36","118","512","839","112","30",".317","91","14.1"
"2007","CHW","2257","6103","5441","693","1341",".246",".318",".404",".722",".158","882","249","20","190","532","1149","78","45",".316","86","2.9"
"2007","WSN","2528","6201","5520","673","1415",".256",".325",".390",".715",".134","952","309","31","123","524","1128","69","23",".315","88","13.2"
"2007","KCR","2294","6140","5534","706","1447",".261",".322",".388",".710",".126","999","300","46","102","428","1069","78","44",".312","85","14.3"
"2007","SFG","2371","6213","5538","683","1407",".254",".322",".387",".708",".133","972","267","37","131","532","907","119","33",".310","81","10.5"
