"Season","Team","G","PA","AB","R","H","AVG","OBP","SLG","OPS","ISO","1B","2B","3B","HR","BB","SO","SB","CS","wOBA","wRC+","WAR"
"2021","TOR","2383","6070","5476","846","1455",".266",".330",".466",".797",".200","895","285","13","262","496","1218","81","20",".340","113","30.5"
"2021","HOU","2319","6291","5593","863","1496",".267",".339",".444",".783",".177","962","299","14","221","569","1222","53","16",".336","116","33.9"
"2021","BOS","2353","6122","5495","829","1434",".261",".328",".449",".777",".188","862","330","23","219","512","1386","40","21",".333","107","23.2"
"2021","SFG","2597","6196","5462","804","1360",".249",".329",".440",".769",".191","823","271","25","241","602","1461","66","14",".329","108","30.0"
"2021","CHW","2292","6084","5357","796","1373",".256",".336",".422",".758",".166","886","275","22","190","586","1389","57","20",".329","109","25.3"
"2021","CIN","2472","6162","5423","786","1352",".249",".328",".431",".759",".182","822","295","13","222","553","1425","36","24",".327","98","19.6"
"2021","LAD","2459","6239","5445","830","1330",".244",".330",".429",".759",".185","822","247","24","237","613","1408","65","17",".327","106","29.5"
"2021","WSN","2386","6113","5385","724","1388",".258",".337",".417",".754",".159","914","272","20","182","573","1303","56","26",".326","101","19.2"
"2021","ATL","2392","6056","5363","790","1307",".244",".319",".435",".754",".191","779","269","20","239","549","1453","59","19",".323","98","22.1"
"2021","TBR","2389","6213","5507","857","1336",".243",".321",".429",".750",".186","790","288","36","222","585","1542","88","42",".322","109","30.0"
"2021","MIN","2356","6078","5431","729","1311",".241",".314",".423",".738",".182","795","271","17","228","525","1405","54","15",".318","101","17.4"
"2021","NYY","2354","6060","5331","711","1266",".237",".322",".407",".729",".169","819","213","12","222","621","1482","63","18",".317","101","18.2"
"2021","COL","2344","6007","5374","739","1338",".249",".317",".414",".731",".165","847","275","34","182","491","1356","76","23",".315","82","15.1"
"2021","PHI","2394","6089","5366","734","1288",".240",".318",".408",".726",".168","804","262","24","198","564","1402","77","19",".313","93","18.6"
"2021","OAK","2353","6104","5395","743","1284",".238",".317",".406",".723",".168","795","271","19","199","545","1349","88","20",".313","102","22.8"
"2021","SDP","2497","6119","5384","729","1305",".242",".321",".401",".722",".159","831","273","21","180","586","1324","110","39",".312","97","18.7"
"2021","STL","2384","6001","5351","706","1303",".244",".313",".412",".725",".168","822","261","22","198","478","1341","89","22",".312","97","24.8"
"2021","CHC","2475","5972","5306","705","1255",".237",".312",".407",".719",".171","794","225","26","210","502","1596","86","37",".311","92","15.3"
"2021","MIL","2403","6099","5362","738","1251",".233",".317",".396",".713",".163","784","255","18","194","586","1465","82","21",".310","91","22.2"
"2021","LAA","2325","6016","5437","723","1331",".245",".310",".407",".717",".162","853","265","23","190","464","1394","79","26",".308","94","13.1"
"2021","NYM","2419","5856","5210","636","1243",".239",".315",".391",".705",".152","821","228","18","176","495","1392","54","26",".307","96","18.2"
"2021","CLE","2300","5907","5332","717","1269",".238",".303",".407",".710",".169","796","248","22","203","453","1387","109","17",".306","93","15.8"
"2021","DET","2341","5979","5376","697","1299",".242",".308",".399",".707",".158","847","236","37","179","490","1514","88","25",".306","93","8.9"
"2021","BAL","2376","5983","5420","659","1296",".239",".304",".402",".705",".163","820","266","15","195","451","1454","54","23",".305","91","8.9"
"2021","KCR","2368","5993","5427","686","1349",".249",".306",".396",".702",".147","906","251","29","163","421","1258","124","33",".304","89","13.3"
"2021","ARI","2449","6144","5489","679","1297",".236",".309",".382",".692",".146","814","308","31","144","537","1465","43","16",".301","84","11.0"
"2021","SEA","2360","6010","5355","697","1209",".226",".303",".385",".688",".159","766","233","11","199","535","1492","64","24",".300","93","11.5"
"2021","PIT","2393","5983","5336","609","1261",".236",".309",".364",".673",".128","862","240","35","124","529","1328","60","30",".294","83","9.1"
"2021","MIA","2436","5928","5348","623","1244",".233",".298",".372",".671",".139","837","226","23","158","450","1553","106","29",".291","84","11.5"
"2021","TEX","2252","5943","5405","625","1254",".232",".294",".375",".670",".143","838","225","24","167","433","1381","106","29",".291","84","12.1"
