"Season","Team","G","PA","AB","R","H","AVG","OBP","SLG","OPS","ISO","1B","2B","3B","HR","BB","SO","SB","CS","wOBA","wRC+","WAR"
"2011","BOS","2269","6414","5710","875","1600",".280",".349",".461",".810",".181","1010","352","35","203","578","1108","102","42",".352","117","36.3"
"2011","TEX","2186","6261","5659","855","1599",".283",".340",".460",".800",".177","1047","310","32","210","475","930","143","45",".347","112","33.9"
"2011","NYY","2301","6306","5518","867","1452",".263",".343",".444",".788",".181","930","267","33","222","627","1138","147","46",".345","113","37.0"
"2011","DET","2309","6231","5563","787","1540",".277",".340",".434",".773",".157","1040","297","34","169","521","1143","49","20",".337","109","23.1"
"2011","STL","2403","6242","5532","762","1513",".273",".341",".425",".766",".151","1021","308","22","162","542","978","57","39",".334","112","29.6"
"2011","MIL","2292","6113","5447","721","1422",".261",".325",".425",".750",".164","930","276","31","185","481","1083","94","31",".327","103","30.5"
"2011","KCR","2134","6267","5672","730","1560",".275",".329",".415",".744",".140","1065","325","41","129","442","1006","153","58",".325","101","19.8"
"2011","COL","2348","6275","5544","735","1429",".258",".329",".410",".739",".152","952","274","40","163","555","1201","118","42",".324","88","11.7"
"2011","CIN","2358","6329","5612","735","1438",".256",".326",".408",".734",".152","972","264","19","183","535","1250","97","50",".322","99","29.4"
"2011","ARI","2230","6096","5421","731","1357",".250",".322",".413",".736",".163","855","293","37","172","531","1249","133","55",".322","97","30.5"
"2011","BAL","2262","6156","5585","708","1434",".257",".316",".413",".729",".156","957","273","13","191","452","1120","81","25",".320","96","12.3"
"2011","TBR","2284","6152","5436","707","1324",".244",".322",".402",".724",".159","842","273","37","172","571","1193","155","62",".319","103","27.7"
"2011","NYM","2383","6335","5600","718","1477",".264",".335",".391",".725",".127","1021","309","39","108","571","1085","130","35",".319","102","17.2"
"2011","TOR","2265","6210","5559","743","1384",".249",".317",".413",".730",".164","879","285","34","186","525","1184","131","52",".319","97","15.6"
"2011","PHI","2203","6279","5579","713","1409",".253",".323",".395",".717",".142","960","258","38","153","539","1024","96","24",".315","96","19.0"
"2011","CLE","2287","6142","5509","704","1380",".250",".317",".396",".714",".146","910","290","26","154","494","1269","89","42",".314","99","9.3"
"2011","CHC","2373","6130","5549","654","1423",".256",".314",".401",".715",".144","954","285","36","148","425","1202","69","23",".314","91","14.3"
"2011","LAA","2187","6088","5513","667","1394",".253",".313",".402",".714",".149","916","289","34","155","442","1086","135","52",".313","98","23.8"
"2011","CHW","2206","6159","5502","654","1387",".252",".319",".388",".706",".136","965","252","16","154","475","989","81","53",".312","90","11.7"
"2011","FLA","2348","6232","5508","625","1358",".247",".318",".388",".706",".142","905","274","30","149","542","1244","95","41",".311","92","13.7"
"2011","LAD","2304","6094","5436","644","1395",".257",".322",".375",".697",".118","1013","237","28","117","498","1087","126","40",".307","95","19.6"
"2011","ATL","2322","6169","5528","641","1345",".243",".308",".387",".695",".144","912","244","16","173","504","1260","77","44",".306","91","18.5"
"2011","WSN","2341","6090","5441","624","1319",".242",".309",".383",".691",".140","886","257","22","154","470","1323","106","38",".305","89","16.6"
"2011","OAK","2229","6104","5452","645","1330",".244",".311",".369",".680",".125","907","280","29","114","509","1094","117","43",".301","89","7.5"
"2011","HOU","2377","6150","5598","615","1442",".258",".311",".374",".684",".116","1010","309","28","95","401","1164","118","33",".301","88","13.3"
"2011","PIT","2444","6064","5421","610","1325",".244",".309",".368",".676",".123","906","277","35","107","489","1308","108","52",".299","88","6.7"
"2011","MIN","2269","6020","5487","619","1357",".247",".306",".360",".666",".113","970","259","25","103","440","1048","92","39",".296","82","4.3"
"2011","SFG","2370","6091","5486","570","1327",".242",".303",".368",".671",".126","900","282","24","121","448","1122","85","51",".295","88","18.1"
"2011","SDP","2355","6074","5417","593","1284",".237",".305",".349",".653",".112","904","247","42","91","501","1320","170","44",".290","86","15.0"
"2011","SEA","2090","5972","5421","556","1263",".233",".292",".348",".640",".115","879","253","22","109","435","1280","125","40",".283","80","3.9"
