"Season","Team","G","PA","AB","R","H","AVG","OBP","SLG","OPS","ISO","1B","2B","3B","HR","BB","SO","SB","CS","wOBA","wRC+","WAR"
"2016","BOS","2284","6320","5670","878","1598",".282",".348",".461",".810",".179","1022","343","25","208","558","1160","83","24",".346","113","35.2"
"2016","COL","2369","6236","5614","845","1544",".275",".336",".457",".794",".182","975","318","47","204","494","1330","66","39",".339","94","18.5"
"2016","CHC","2332","6335","5503","808","1409",".256",".343",".429",".772",".173","887","293","30","199","656","1339","66","34",".333","106","37.1"
"2016","DET","2295","6127","5526","750","1476",".267",".331",".438",".769",".171","983","252","30","211","493","1303","58","29",".330","106","21.1"
"2016","STL","2400","6223","5548","779","1416",".255",".325",".443",".768",".187","859","300","32","225","526","1318","35","26",".329","105","22.0"
"2016","TOR","2349","6233","5479","759","1358",".248",".330",".426",".755",".178","843","276","18","221","632","1362","54","24",".327","104","25.1"
"2016","CLE","2366","6155","5484","777","1435",".262",".329",".430",".759",".168","913","308","29","185","531","1246","134","31",".326","100","24.9"
"2016","BAL","2257","6089","5524","744","1413",".256",".317",".443",".760",".188","889","265","6","253","468","1324","19","13",".326","103","20.7"
"2016","SEA","2371","6227","5583","768","1446",".259",".326",".430",".756",".171","955","251","17","223","506","1288","56","28",".325","108","21.3"
"2016","TEX","2324","6089","5525","765","1446",".262",".322",".433",".755",".172","951","257","23","215","436","1220","99","36",".324","95","16.2"
"2016","WSN","2302","6201","5490","763","1403",".256",".326",".426",".751",".170","903","268","29","203","536","1252","121","39",".322","96","22.3"
"2016","ARI","2399","6260","5665","752","1479",".261",".320",".432",".752",".171","948","285","56","190","463","1427","137","31",".321","93","15.6"
"2016","PIT","2458","6261","5542","729","1426",".257",".332",".402",".734",".144","964","277","32","153","561","1334","110","45",".318","97","18.8"
"2016","MIN","2290","6245","5618","722","1409",".251",".316",".421",".738",".171","886","288","35","200","513","1426","91","32",".317","95","12.4"
"2016","HOU","2334","6204","5545","724","1367",".247",".319",".417",".735",".170","849","291","29","198","554","1452","102","44",".317","101","23.7"
"2016","MIL","2342","6061","5330","671","1299",".244",".322",".407",".729",".163","837","249","19","194","599","1543","181","56",".315","92","12.7"
"2016","NYM","2430","6115","5459","671","1342",".246",".316",".417",".733",".171","865","240","19","218","517","1302","42","18",".315","99","23.4"
"2016","SFG","2404","6271","5565","715","1437",".258",".329",".398",".728",".140","973","280","54","130","572","1107","79","36",".315","96","25.9"
"2016","TBR","2281","6046","5481","672","1333",".243",".307",".426",".733",".182","797","288","32","216","449","1482","60","37",".315","98","19.1"
"2016","LAD","2491","6164","5518","725","1375",".249",".319",".409",".728",".160","893","272","21","189","525","1321","45","26",".314","97","25.5"
"2016","LAA","2419","6041","5431","717","1410",".260",".322",".405",".726",".145","955","279","20","156","471","991","73","34",".314","99","19.2"
"2016","CHW","2217","6131","5550","686","1428",".257",".317",".410",".727",".153","950","277","33","168","455","1285","77","36",".314","97","15.0"
"2016","CIN","2287","6094","5487","716","1403",".256",".316",".408",".724",".152","929","277","33","164","452","1284","139","51",".311","89","12.1"
"2016","NYY","2308","6058","5458","680","1377",".252",".314",".405",".720",".153","929","245","20","183","475","1188","72","22",".311","92","15.5"
"2016","MIA","2460","6133","5547","655","1460",".263",".322",".394",".716",".131","1031","259","42","128","447","1213","71","28",".309","95","21.3"
"2016","KCR","2244","6052","5552","675","1450",".261",".312",".400",".712",".139","1006","264","33","147","382","1224","121","35",".307","89","11.8"
"2016","ATL","2390","6192","5514","649","1404",".255",".321",".384",".705",".130","960","295","27","122","502","1240","75","34",".304","86","9.8"
"2016","OAK","2343","6022","5500","653","1352",".246",".304",".395",".699",".149","892","270","21","169","442","1145","50","23",".302","89","3.0"
"2016","SDP","2355","6000","5419","686","1275",".235",".299",".390",".689",".155","815","257","26","177","449","1500","125","45",".297","84","11.1"
"2016","PHI","2348","5992","5434","610","1306",".240",".301",".385",".685",".144","879","231","35","161","424","1376","96","45",".296","81","9.4"
