"Season","Team","G","PA","AB","R","H","AVG","OBP","SLG","OPS","ISO","1B","2B","3B","HR","BB","SO","SB","CS","wOBA","wRC+","WAR"
"2015","TOR","2337","6231","5509","891","1480",".269",".340",".457",".797",".188","923","308","17","232","570","1151","88","23",".344","117","36.7"
"2015","HOU","2333","6073","5459","729","1363",".250",".315",".437",".752",".187","829","278","26","230","486","1392","121","48",".325","108","26.1"
"2015","DET","2340","6159","5605","689","1515",".270",".328",".420",".748",".150","1026","289","49","151","455","1259","83","51",".324","103","17.1"
"2015","NYY","2401","6268","5567","764","1397",".251",".323",".421",".744",".170","894","272","19","212","554","1227","63","25",".323","103","20.7"
"2015","LAD","2379","6090","5385","667","1346",".250",".326",".413",".739",".163","870","263","26","187","563","1258","59","34",".322","106","29.0"
"2015","BOS","2268","6237","5640","748","1495",".265",".325",".415",".740",".149","1007","294","33","161","478","1148","71","27",".321","99","17.9"
"2015","COL","2436","6071","5572","737","1479",".265",".315",".432",".748",".167","970","274","49","186","388","1283","97","43",".321","87","9.7"
"2015","TEX","2358","6187","5511","751","1419",".257",".325",".413",".739",".156","936","279","32","172","503","1233","101","39",".321","98","21.6"
"2015","ARI","2393","6276","5649","720","1494",".264",".324",".414",".738",".150","1003","289","48","154","490","1312","132","44",".319","95","21.6"
"2015","SFG","2342","6153","5565","696","1486",".267",".326",".406",".732",".139","1023","288","39","136","457","1159","93","36",".318","104","29.5"
"2015","KCR","2263","6116","5575","724","1497",".269",".322",".412",".734",".144","1016","300","42","139","383","973","104","34",".318","99","21.8"
"2015","CLE","2285","6109","5439","669","1395",".256",".325",".401",".725",".144","922","303","29","141","533","1157","86","28",".315","97","19.1"
"2015","BAL","2249","6007","5485","713","1370",".250",".307",".421",".728",".171","887","246","20","217","418","1331","44","25",".315","97","17.7"
"2015","WSN","2245","6117","5428","703","1363",".251",".321",".403",".724",".151","908","265","13","177","539","1344","57","23",".315","96","17.9"
"2015","CHC","2406","6200","5491","689","1341",".244",".321",".398",".719",".154","868","272","30","171","567","1518","95","37",".313","96","25.4"
"2015","TBR","2479","6071","5485","644","1383",".252",".314",".406",".720",".154","906","278","32","167","436","1310","87","45",".313","100","19.6"
"2015","SEA","2407","6131","5544","656","1379",".249",".311",".411",".722",".162","897","262","22","198","478","1336","69","45",".313","100","17.4"
"2015","PIT","2431","6285","5631","697","1462",".260",".323",".396",".719",".136","1003","292","27","140","461","1322","98","45",".313","97","24.0"
"2015","STL","2406","6139","5484","647","1386",".253",".321",".394",".716",".142","922","288","39","137","506","1267","69","38",".311","97","23.6"
"2015","NYM","2325","6145","5527","683","1351",".244",".312",".400",".712",".156","862","295","17","177","488","1290","51","25",".309","98","24.6"
"2015","OAK","2349","6171","5600","694","1405",".251",".312",".395",".707",".144","936","277","46","146","475","1119","78","29",".308","95","11.3"
"2015","CIN","2337","6196","5571","640","1382",".248",".312",".394",".706",".146","931","257","27","167","496","1255","134","38",".307","91","16.5"
"2015","MIN","2311","6017","5467","696","1349",".247",".305",".399",".704",".152","872","277","44","156","439","1264","70","38",".305","89","12.1"
"2015","LAA","2459","5990","5417","661","1331",".246",".307",".396",".702",".150","891","243","21","176","435","1150","52","34",".305","95","17.1"
"2015","MIL","2377","6024","5480","655","1378",".251",".307",".393",".700",".142","925","274","34","145","412","1299","84","29",".304","87","12.6"
"2015","MIA","2297","5988","5463","613","1420",".260",".310",".384",".694",".124","1024","236","40","120","375","1150","112","45",".302","91","15.3"
"2015","CHW","2265","6070","5533","622","1381",".250",".306",".380",".686",".130","958","260","27","136","404","1231","68","42",".300","89","8.8"
"2015","PHI","2321","6053","5529","626","1374",".249",".303",".382",".684",".133","935","272","37","130","387","1274","88","32",".298","86","8.8"
"2015","SDP","2396","6019","5457","650","1324",".243",".300",".385",".685",".142","880","260","36","148","426","1327","82","29",".298","90","16.4"
"2015","ATL","2340","6034","5420","573","1361",".251",".314",".359",".674",".108","992","251","18","100","471","1107","69","33",".296","84","9.9"
