"Season","Team","G","PA","AB","R","H","AVG","OBP","SLG","OPS","ISO","1B","2B","3B","HR","BB","SO","SB","CS","wOBA","wRC+","WAR"
"2014","COL","2387","6164","5612","755","1551",".276",".327",".445",".772",".169","1017","307","41","186","397","1281","85","48",".337","97","17.0"
"2014","DET","2330","6202","5630","757","1557",".277",".331",".426",".757",".150","1051","325","26","155","443","1144","106","41",".331","112","24.8"
"2014","LAD","2364","6231","5560","718","1476",".265",".333",".406",".738",".140","1002","302","38","134","519","1246","138","50",".327","112","31.8"
"2014","TOR","2397","6167","5549","723","1435",".259",".323",".414",".736",".155","952","282","24","177","502","1151","78","21",".325","107","22.2"
"2014","PIT","2362","6224","5536","682","1436",".259",".330",".404",".734",".145","975","275","30","156","520","1244","104","47",".325","108","31.4"
"2014","BAL","2294","6130","5596","705","1434",".256",".311",".422",".734",".166","943","264","16","211","401","1285","44","20",".323","104","27.4"
"2014","LAA","2468","6284","5652","773","1464",".259",".322",".406",".728",".147","974","304","31","155","492","1266","81","39",".321","110","30.4"
"2014","WSN","2265","6216","5542","686","1403",".253",".321",".393",".714",".140","959","265","27","152","517","1304","101","23",".317","99","26.2"
"2014","MIN","2292","6233","5567","715","1412",".254",".324",".389",".713",".135","941","316","27","128","544","1329","99","36",".316","100","16.2"
"2014","CLE","2391","6222","5575","669","1411",".253",".317",".389",".706",".136","962","284","23","142","504","1189","104","27",".313","98","14.1"
"2014","MIL","2327","6065","5462","650","1366",".250",".311",".397",".708",".147","891","297","28","150","423","1197","102","43",".313","94","20.8"
"2014","CHW","2285","6077","5543","660","1400",".253",".310",".398",".708",".146","934","279","32","155","417","1362","85","36",".312","99","13.3"
"2014","OAK","2358","6245","5545","729","1354",".244",".320",".381",".700",".137","922","253","33","146","586","1104","83","20",".312","102","21.2"
"2014","SFG","2353","6087","5523","665","1407",".255",".311",".388",".699",".133","976","257","42","132","427","1245","56","27",".308","99","25.4"
"2014","STL","2324","6086","5426","619","1371",".253",".320",".369",".689",".116","970","275","21","105","471","1133","57","32",".308","95","18.1"
"2014","HOU","2229","6055","5447","629","1317",".242",".309",".383",".692",".141","895","240","19","163","495","1442","122","37",".308","98","13.7"
"2014","MIA","2311","6185","5538","645","1399",".253",".317",".378",".694",".125","987","254","36","122","501","1419","58","21",".307","95","16.6"
"2014","KCR","2273","6058","5545","651","1456",".263",".314",".376",".690",".113","1046","286","29","95","380","985","153","36",".306","92","18.8"
"2014","NYY","2288","6082","5497","633","1349",".245",".307",".380",".687",".135","929","247","26","147","452","1133","112","26",".305","94","18.1"
"2014","TEX","2264","6026","5460","637","1400",".256",".314",".375",".689",".119","1001","260","28","111","417","1162","105","59",".305","90","11.6"
"2014","TBR","2352","6205","5516","612","1361",".247",".317",".367",".684",".120","957","263","24","117","527","1124","63","27",".305","97","20.3"
"2014","BOS","2283","6226","5551","634","1355",".244",".316",".369",".684",".124","930","282","20","123","535","1337","63","25",".305","89","17.3"
"2014","CHC","2358","6102","5508","614","1315",".239",".300",".385",".684",".146","857","270","31","157","442","1477","65","40",".303","91","15.4"
"2014","ARI","2274","6089","5552","615","1379",".248",".302",".376",".678",".127","955","259","47","118","398","1165","86","33",".300","83","13.0"
"2014","SEA","2333","5977","5450","634","1328",".244",".300",".376",".676",".132","913","247","32","136","396","1232","96","42",".299","94","16.4"
"2014","NYM","2294","6145","5472","629","1306",".239",".308",".364",".673",".126","887","275","19","125","516","1264","101","34",".299","92","17.8"
"2014","ATL","2252","6064","5468","573","1316",".241",".305",".360",".665",".119","931","240","22","123","472","1369","95","33",".296","86","12.8"
"2014","PHI","2282","6198","5603","619","1356",".242",".302",".363",".665",".121","953","251","27","125","443","1306","109","26",".295","86","11.6"
"2014","CIN","2213","5978","5395","595","1282",".238",".296",".365",".661",".127","877","254","20","131","415","1252","122","52",".294","83","14.7"
"2014","SDP","2362","5905","5294","535","1199",".226",".292",".342",".634",".115","836","224","30","109","468","1294","91","34",".283","82","11.7"
