"Season","Team","G","PA","AB","R","H","AVG","OBP","SLG","OPS","ISO","1B","2B","3B","HR","BB","SO","SB","CS","wOBA","wRC+","WAR"
"2004","BOS","2417","6515","5720","949","1613",".282",".360",".472",".832",".190","993","373","25","222","659","1189","68","30",".358","114","24.7"
"2004","NYY","2281","6364","5527","897","1483",".268",".353",".458",".811",".189","940","281","20","242","670","982","84","33",".350","112","21.7"
"2004","CLE","2287","6452","5676","858","1565",".276",".351",".444",".795",".168","1007","345","29","184","606","1009","94","55",".345","109","26.8"
"2004","COL","2351","6333","5577","833","1531",".275",".345",".455",".800",".180","964","331","34","202","568","1181","44","33",".344","93","14.1"
"2004","STL","2381","6297","5555","855","1544",".278",".344",".460",".804",".182","987","319","24","214","548","1085","111","47",".344","107","33.6"
"2004","PHI","2317","6456","5643","840","1505",".267",".345",".443",".788",".176","964","303","23","215","645","1133","100","27",".340","100","26.7"
"2004","CHW","2245","6197","5534","865","1481",".268",".333",".457",".790",".189","936","284","19","242","499","1030","78","51",".340","101","23.2"
"2004","SFG","2405","6466","5546","850","1500",".270",".357",".438",".795",".168","970","314","33","183","705","874","43","23",".340","105","27.5"
"2004","DET","2255","6285","5623","827","1531",".272",".337",".449",".786",".177","992","284","54","201","518","1144","86","50",".339","106","21.7"
"2004","OAK","2217","6459","5728","793","1545",".270",".343",".433",".776",".163","1005","336","15","189","608","1061","47","22",".337","102","20.6"
"2004","BAL","2278","6431","5736","842","1614",".281",".345",".432",".776",".150","1108","319","18","169","528","949","101","41",".337","103","22.0"
"2004","TEX","2240","6256","5615","860","1492",".266",".329",".457",".786",".191","908","323","34","227","500","1099","69","36",".336","95","18.4"
"2004","CHC","2290","6281","5628","789","1508",".268",".328",".458",".786",".190","936","308","29","235","489","1080","66","28",".336","98","25.4"
"2004","ATL","2349","6339","5570","803","1503",".270",".343",".434",".777",".164","984","304","37","178","587","1158","86","32",".336","100","29.0"
"2004","HOU","2391","6269","5468","803","1458",".267",".342",".436",".778",".170","941","294","36","187","590","999","89","30",".336","98","24.6"
"2004","ANA","2217","6296","5675","836","1603",".282",".341",".429",".770",".147","1132","272","37","162","450","942","143","46",".334","103","23.4"
"2004","MIN","2318","6286","5623","780","1494",".266",".332",".431",".763",".166","969","310","24","191","513","982","116","46",".330","97","17.2"
"2004","SDP","2316","6313","5573","768","1521",".273",".342",".414",".756",".141","1046","304","32","139","566","910","52","25",".329","103","25.9"
"2004","LAD","2357","6244","5542","761","1450",".262",".332",".423",".755",".161","991","226","30","203","536","1092","102","41",".327","97","28.0"
"2004","CIN","2361","6278","5518","750","1380",".250",".331",".418",".749",".168","871","287","28","194","599","1335","77","25",".326","92","15.6"
"2004","FLA","2223","6160","5486","718","1447",".264",".329",".406",".736",".143","992","275","32","148","499","968","96","43",".321","94","18.2"
"2004","TOR","2194","6178","5531","719","1438",".260",".328",".403",".732",".143","969","290","34","145","513","1083","58","31",".320","88","12.7"
"2004","SEA","2280","6362","5722","698","1544",".270",".331",".396",".727",".127","1112","276","20","136","492","1058","110","42",".317","93","17.3"
"2004","TBD","2182","6098","5483","714","1416",".258",".320",".405",".725",".147","947","278","46","145","469","944","132","42",".315","87","16.3"
"2004","PIT","2330","6115","5483","680","1428",".260",".321",".401",".722",".141","980","267","39","142","415","1066","63","40",".314","85","7.8"
"2004","KCR","2169","6153","5538","720","1432",".259",".322",".397",".720",".139","992","261","29","150","461","1057","67","48",".314","82","1.0"
"2004","NYM","2390","6209","5532","684","1376",".249",".317",".409",".726",".160","882","289","20","185","512","1159","107","23",".314","88","11.3"
"2004","MIL","2255","6195","5483","634","1358",".248",".321",".387",".708",".139","896","295","32","135","540","1312","138","40",".309","82","9.8"
"2004","MON","2289","6138","5474","635","1361",".249",".313",".392",".705",".143","907","276","27","151","496","925","109","38",".306","77","5.7"
"2004","ARI","2295","6114","5544","615","1401",".253",".310",".393",".703",".140","933","295","38","135","441","1022","53","32",".305","74","-0.4"
