"Season","Team","G","PA","AB","R","H","AVG","OBP","SLG","OPS","ISO","1B","2B","3B","HR","BB","SO","SB","CS","wOBA","wRC+","WAR"
"2019","HOU","2309","6394","5613","920","1538",".274",".352",".495",".848",".221","899","323","28","288","645","1166","67","27",".355","124","39.9"
"2019","MIN","2320","6392","5732","939","1547",".270",".338",".494",".832",".224","899","318","23","307","525","1334","28","21",".347","116","31.5"
"2019","NYY","2312","6245","5583","943","1493",".267",".339",".490",".829",".222","880","290","17","306","569","1437","55","22",".346","117","32.8"
"2019","LAD","2413","6281","5493","886","1414",".257",".338",".472",".810",".215","813","302","20","279","607","1356","57","10",".338","110","34.0"
"2019","BOS","2455","6475","5770","901","1554",".269",".340",".466",".806",".197","937","345","27","245","590","1382","68","30",".338","106","27.3"
"2019","WSN","2327","6267","5512","873","1460",".265",".342",".454",".796",".190","904","298","27","231","584","1308","116","29",".336","104","26.8"
"2019","ATL","2411","6302","5560","855","1432",".258",".336",".452",".789",".195","877","277","29","249","619","1467","89","28",".332","101","26.3"
"2019","CHC","2429","6195","5461","814","1378",".252",".331",".452",".783",".200","826","270","26","256","581","1460","45","24",".330","100","24.1"
"2019","COL","2452","6288","5660","835","1502",".265",".326",".456",".782",".190","914","323","41","224","489","1503","71","31",".328","87","11.4"
"2019","OAK","2363","6269","5561","845","1384",".249",".327",".448",".776",".199","812","292","23","257","578","1338","49","21",".327","107","28.6"
"2019","NYM","2445","6290","5624","791","1445",".257",".328",".442",".770",".185","906","280","17","242","516","1384","56","27",".325","105","24.5"
"2019","MIL","2514","6309","5542","769","1366",".246",".329",".438",".767",".192","820","279","17","250","629","1563","101","25",".324","97","24.4"
"2019","TBR","2459","6285","5628","769","1427",".254",".325",".431",".757",".178","890","291","29","217","542","1493","94","37",".321","104","24.2"
"2019","ARI","2418","6315","5633","813","1419",".252",".323",".434",".757",".182","871","288","40","220","540","1360","88","14",".319","93","22.6"
"2019","CLE","2321","6124","5425","769","1354",".250",".323",".432",".756",".183","827","286","18","223","563","1332","103","35",".319","97","22.5"
"2019","TEX","2273","6204","5540","810","1374",".248",".319",".431",".750",".183","831","296","24","223","534","1578","131","38",".317","88","9.2"
"2019","LAA","2425","6251","5542","769","1368",".247",".324",".422",".746",".175","859","268","21","220","586","1276","65","20",".316","96","17.9"
"2019","PHI","2431","6261","5571","774","1369",".246",".319",".427",".746",".181","817","311","26","215","562","1453","78","18",".314","90","20.5"
"2019","STL","2413","6167","5449","764","1336",".245",".322",".415",".737",".170","856","246","24","210","561","1420","116","29",".314","95","23.3"
"2019","SEA","2347","6199","5500","758","1305",".237",".316",".424",".740",".187","784","254","28","239","588","1581","115","47",".314","99","16.8"
"2019","PIT","2441","6228","5657","758","1497",".265",".321",".420",".741",".156","981","315","38","163","425","1213","64","29",".313","92","10.6"
"2019","CIN","2462","6100","5450","701","1328",".244",".315",".422",".736",".178","839","235","27","227","492","1436","80","38",".312","85","9.4"
"2019","TOR","2354","6091","5493","726","1299",".236",".305",".428",".733",".192","761","270","21","247","509","1514","51","20",".310","92","11.4"
"2019","CHW","2311","6042","5529","708","1443",".261",".314",".414",".728",".153","981","260","20","182","378","1549","63","28",".309","92","9.8"
"2019","BAL","2386","6189","5596","729","1379",".246",".310",".415",".725",".168","889","252","25","213","462","1435","84","30",".308","88","6.1"
"2019","SDP","2413","6019","5391","682","1281",".238",".308",".410",".718",".172","814","224","24","219","504","1581","70","37",".305","89","14.4"
"2019","KCR","2269","6080","5496","691","1356",".247",".309",".401",".710",".154","873","281","40","162","456","1405","117","39",".302","84","9.1"
"2019","SFG","2493","6170","5579","678","1332",".239",".302",".392",".694",".153","839","300","26","167","475","1435","47","28",".295","82","9.6"
"2019","DET","2316","6039","5549","582","1333",".240",".294",".388",".682",".148","851","292","41","149","391","1595","57","20",".290","77","-2.1"
"2019","MIA","2402","6045","5512","615","1326",".241",".298",".375",".673",".134","897","265","18","146","395","1469","55","30",".288","79","2.8"
