"Season","Team","G","PA","AB","R","H","AVG","OBP","SLG","OPS","ISO","1B","2B","3B","HR","BB","SO","SB","CS","wOBA","wRC+","WAR"
"2000","CLE","1930","6512","5683","950","1639",".288",".367",".470",".837",".182","1078","310","30","221","685","1057","113","34",".364","109","27.1"
"2000","HOU","2303","6444","5570","938","1547",".278",".361",".477",".837",".199","973","289","36","249","673","1129","114","52",".361","105","23.0"
"2000","SFG","2123","6418","5519","925","1535",".278",".362",".472",".834",".194","961","304","44","226","709","1032","79","39",".359","112","34.7"
"2000","CHW","1791","6410","5646","978","1615",".286",".356",".470",".826",".184","1041","325","33","216","591","960","119","42",".357","106","25.9"
"2000","OAK","2066","6432","5560","947","1501",".270",".360",".458",".817",".188","958","281","23","239","750","1159","40","15",".356","109","22.8"
"2000","ANA","1839","6373","5628","864","1574",".280",".352",".472",".825",".193","995","309","34","236","608","1024","93","52",".356","106","31.3"
"2000","STL","2196","6369","5478","887","1481",".270",".356",".455",".812",".185","962","259","25","235","675","1253","87","51",".353","105","31.2"
"2000","COL","2221","6453","5660","968","1664",".294",".362",".455",".816",".161","1130","320","53","161","601","907","131","61",".353","82","15.5"
"2000","SEA","1985","6444","5497","907","1481",".269",".361",".442",".803",".172","957","300","26","198","775","1073","122","56",".352","107","28.8"
"2000","NYY","2061","6311","5556","871","1541",".277",".354",".450",".804",".173","1017","294","25","205","631","1007","99","48",".350","105","20.6"
"2000","TOR","1871","6326","5677","861","1562",".275",".341",".469",".810",".194","969","328","21","244","526","1026","89","34",".350","101","20.6"
"2000","TEX","1874","6364","5648","848","1601",".283",".352",".446",".798",".163","1063","330","35","173","580","922","69","47",".347","97","10.2"
"2000","CIN","2313","6373","5635","825","1545",".274",".343",".447",".790",".173","1007","302","36","200","559","995","100","38",".341","94","24.3"
"2000","DET","1938","6343","5644","823","1553",".275",".343",".438",".781",".163","1028","307","41","177","562","982","83","38",".341","100","19.7"
"2000","NYM","2345","6328","5486","807","1445",".263",".346",".430",".776",".167","946","281","20","198","675","1037","66","46",".339","99","23.5"
"2000","ATL","2039","6275","5489","810","1490",".271",".346",".429",".775",".157","1011","274","26","179","595","1010","148","56",".339","96","24.5"
"2000","KCR","1875","6394","5709","879","1644",".288",".348",".425",".773",".138","1186","281","27","150","511","840","121","35",".338","89","17.1"
"2000","BAL","1901","6238","5549","794","1508",".272",".341",".435",".776",".163","992","310","22","184","558","900","126","65",".338","98","15.3"
"2000","LAD","2057","6312","5481","798","1408",".257",".341",".431",".771",".174","904","265","28","211","668","1083","95","42",".337","99","23.7"
"2000","BOS","2051","6371","5630","792","1503",".267",".341",".423",".764",".156","988","316","32","167","611","1019","43","30",".334","92","16.4"
"2000","PIT","2202","6369","5643","793","1506",".267",".339",".424",".762",".157","987","320","31","168","564","1032","86","40",".333","91","10.6"
"2000","ARI","2103","6241","5527","792","1466",".265",".333",".429",".763",".164","961","282","44","179","535","975","97","44",".332","88","15.6"
"2000","MON","2328","6153","5535","738","1475",".266",".326",".432",".758",".165","952","310","35","178","476","1048","58","48",".327","87","8.3"
"2000","MIN","1972","6283","5615","748","1516",".270",".337",".407",".744",".137","1026","325","49","116","556","1021","90","45",".327","86","3.3"
"2000","CHC","2269","6397","5577","764","1426",".256",".335",".411",".746",".155","948","272","23","183","632","1120","93","37",".327","89","15.7"
"2000","FLA","2213","6203","5509","731","1441",".262",".331",".409",".740",".147","978","274","29","160","540","1184","168","55",".324","89","14.5"
"2000","TBD","1887","6206","5505","733","1414",".257",".329",".399",".728",".142","977","253","22","162","558","1022","90","46",".321","83","7.4"
"2000","SDP","2169","6291","5560","752","1413",".254",".330",".402",".732",".148","940","279","37","157","602","1177","131","53",".321","91","15.3"
"2000","PHI","1954","6273","5511","708","1386",".251",".329",".400",".729",".148","898","304","40","144","611","1117","102","30",".320","83","11.8"
"2000","MIL","2207","6355","5563","740","1366",".246",".325",".403",".729",".158","867","297","25","177","620","1245","72","44",".319","82","11.7"
