"Season","Team","G","PA","AB","R","H","AVG","OBP","SLG","OPS","ISO","1B","2B","3B","HR","BB","SO","SB","CS","wOBA","wRC+","WAR"
"2010","NYY","2313","6379","5567","859","1485",".267",".350",".436",".786",".169","977","275","32","201","662","1136","103","30",".346","112","31.2"
"2010","BOS","2327","6356","5646","818","1511",".268",".339",".451",".790",".183","920","358","22","211","587","1140","68","17",".345","109","24.9"
"2010","CIN","2370","6285","5579","790","1515",".272",".338",".436",".774",".164","1004","293","30","188","522","1218","93","43",".340","106","35.7"
"2010","MIN","2290","6257","5568","781","1521",".273",".341",".422",".762",".148","1020","318","41","142","559","967","68","28",".335","106","27.8"
"2010","MIL","2262","6304","5606","750","1471",".262",".335",".424",".759",".161","963","293","33","182","546","1216","81","26",".334","104","30.0"
"2010","TOR","2206","6072","5495","755","1364",".248",".312",".454",".766",".206","767","319","21","257","471","1164","58","20",".334","105","23.7"
"2010","COL","2379","6265","5530","770","1452",".263",".336",".425",".760",".162","955","270","54","173","585","1274","99","42",".333","91","13.5"
"2010","TEX","2312","6302","5635","787","1556",".276",".338",".419",".757",".143","1101","268","25","162","511","986","123","48",".333","98","21.8"
"2010","CHW","2212","6118","5484","752","1467",".268",".332",".420",".752",".152","1006","263","21","177","467","922","160","74",".332","100","15.7"
"2010","DET","2274","6312","5643","751","1515",".268",".335",".415",".750",".147","1023","308","32","152","546","1147","69","30",".330","102","23.6"
"2010","ATL","2376","6252","5463","738","1411",".258",".339",".401",".740",".143","935","312","25","139","634","1140","63","29",".327","100","23.6"
"2010","PHI","2277","6291","5581","772","1451",".260",".332",".413",".745",".153","961","290","34","166","560","1064","108","21",".327","99","23.1"
"2010","TBR","2361","6270","5439","802","1343",".247",".333",".403",".736",".156","851","295","37","160","672","1292","172","47",".326","106","30.7"
"2010","ARI","2271","6183","5473","713","1366",".250",".325",".416",".740",".166","851","301","34","180","589","1529","86","41",".325","93","21.8"
"2010","KCR","2190","6209","5604","676","1534",".274",".331",".399",".730",".126","1103","279","31","121","471","905","115","50",".323","98","9.9"
"2010","STL","2347","6241","5542","736","1456",".263",".332",".402",".733",".139","1003","285","18","150","541","1027","79","41",".322","99","25.0"
"2010","SFG","2354","6143","5488","697","1411",".257",".321",".408",".729",".151","935","284","30","162","487","1099","55","32",".320","98","25.8"
"2010","FLA","2300","6194","5531","719","1403",".254",".321",".403",".724",".149","920","294","37","152","514","1375","92","26",".318","92","15.9"
"2010","CHC","2307","6140","5512","685","1414",".257",".320",".401",".721",".145","940","298","27","149","479","1236","55","31",".318","90","13.8"
"2010","WSN","2410","6100","5418","655","1355",".250",".318",".390",".708",".140","925","250","31","149","503","1220","110","41",".313","90","16.6"
"2010","OAK","2255","6117","5448","663","1396",".256",".324",".378",".702",".122","981","276","30","109","527","1061","156","38",".313","95","20.3"
"2010","CLE","2255","6165","5487","646","1362",".248",".322",".378",".700",".130","924","290","20","128","545","1184","91","33",".311","94","11.0"
"2010","LAA","2236","6089","5488","681","1363",".248",".311",".390",".702",".142","913","276","19","155","466","1070","104","52",".310","94","14.1"
"2010","BAL","2240","6109","5554","613","1440",".259",".316",".386",".702",".127","1022","264","21","133","424","1056","76","34",".310","87","9.6"
"2010","LAD","2310","6140","5426","667","1368",".252",".322",".379",".700",".127","949","270","29","120","533","1184","92","50",".309","92","13.3"
"2010","NYM","2348","6144","5465","656","1361",".249",".314",".383",".697",".134","927","266","40","128","502","1095","130","44",".307","89","15.1"
"2010","SDP","2352","6148","5434","665","1338",".246",".317",".371",".689",".125","946","236","24","132","538","1183","124","50",".304","92","23.6"
"2010","PIT","2327","5974","5386","587","1303",".242",".304",".373",".678",".131","874","276","27","126","463","1207","87","36",".300","84","1.4"
"2010","HOU","2358","6005","5452","611","1348",".247",".303",".362",".665",".115","963","252","25","108","415","1025","100","36",".295","79","5.4"
"2010","SEA","2104","5989","5409","513","1274",".236",".298",".339",".637",".104","930","227","16","101","459","1184","142","39",".285","79","2.2"
