"Season","Team","G","PA","AB","R","H","AVG","OBP","SLG","OPS","ISO","1B","2B","3B","HR","BB","SO","SB","CS","wOBA","wRC+","WAR"
"2013","BOS","2264","6382","5651","853","1566",".277",".349",".446",".795",".169","996","363","29","178","581","1308","123","19",".347","114","36.2"
"2013","DET","2274","6388","5735","796","1625",".283",".346",".434",".780",".151","1134","292","23","176","531","1073","35","20",".341","114","27.6"
"2013","OAK","2313","6209","5521","767","1403",".254",".327",".419",".745",".165","891","301","25","186","573","1178","74","28",".327","108","25.4"
"2013","LAA","2311","6260","5588","733","1476",".264",".329",".414",".743",".150","1003","270","39","164","523","1221","82","34",".325","109","21.6"
"2013","COL","2330","6152","5599","706","1511",".270",".323",".418",".741",".149","1033","283","36","159","427","1204","112","32",".324","87","13.7"
"2013","CLE","2337","6165","5465","745","1391",".255",".327",".410",".737",".155","907","290","23","171","562","1283","117","36",".324","104","22.6"
"2013","TBR","2423","6242","5538","700","1421",".257",".329",".408",".737",".151","937","296","23","165","589","1171","73","38",".324","107","28.2"
"2013","BAL","2246","6144","5620","745","1460",".260",".313",".431",".744",".171","936","298","14","212","416","1125","79","29",".323","101","25.7"
"2013","TEX","2321","6196","5585","730","1465",".262",".323",".412",".735",".150","1004","262","23","176","462","1067","149","46",".323","97","19.7"
"2013","STL","2341","6202","5557","783","1494",".269",".332",".401",".733",".133","1027","322","20","125","481","1110","45","22",".322","104","26.1"
"2013","TOR","2314","6152","5537","712","1398",".252",".318",".411",".729",".158","916","273","24","185","510","1123","112","41",".320","99","17.0"
"2013","ATL","2293","6133","5441","688","1354",".249",".321",".402",".723",".153","905","247","21","181","542","1384","64","31",".318","102","25.6"
"2013","LAD","2336","6145","5491","649","1447",".264",".326",".396",".722",".133","1011","281","17","138","476","1146","78","28",".317","103","25.5"
"2013","CIN","2286","6293","5499","698","1370",".249",".327",".391",".718",".142","921","274","20","155","585","1245","67","35",".316","96","22.5"
"2013","ARI","2349","6334","5676","685","1468",".259",".323",".391",".715",".133","1005","302","31","130","519","1142","62","41",".314","93","19.4"
"2013","PIT","2369","6135","5486","634","1346",".245",".313",".396",".709",".151","877","273","35","161","469","1330","94","42",".312","99","22.8"
"2013","WSN","2241","6047","5436","656","1365",".251",".313",".398",".710",".146","918","259","27","161","464","1192","88","28",".311","94","17.6"
"2013","MIL","2335","6064","5474","640","1381",".252",".311",".398",".708",".145","943","238","43","157","407","1183","142","50",".311","91","22.6"
"2013","SFG","2396","6168","5552","629","1446",".260",".320",".381",".702",".121","1024","280","35","107","469","1078","67","26",".309","100","26.9"
"2013","SEA","2237","6172","5558","624","1318",".237",".306",".390",".695",".152","864","249","17","188","529","1353","49","23",".307","95","10.0"
"2013","MIN","2332","6212","5564","614","1346",".242",".312",".380",".692",".138","895","285","15","151","533","1430","52","33",".307","91","10.8"
"2013","KCR","2236","6093","5549","648","1443",".260",".315",".379",".694",".119","1043","254","34","112","422","1048","153","32",".305","89","19.4"
"2013","CHC","2294","6079","5498","602","1307",".238",".300",".392",".693",".154","820","297","18","172","439","1230","63","32",".304","90","14.1"
"2013","PHI","2310","6014","5456","610","1355",".248",".306",".384",".690",".135","928","255","32","140","417","1205","73","29",".303","89","8.9"
"2013","SDP","2359","6122","5517","618","1349",".245",".308",".378",".686",".133","931","246","26","146","467","1309","118","34",".302","94","18.6"
"2013","NYY","2253","6044","5449","650","1321",".242",".307",".376",".683",".133","906","247","24","144","466","1214","115","31",".301","86","14.6"
"2013","CHW","2279","6077","5563","598","1385",".249",".302",".378",".680",".129","981","237","19","148","411","1207","105","42",".299","85","5.5"
"2013","HOU","2266","6020","5457","610","1307",".240",".299",".375",".674",".136","877","266","16","148","426","1535","110","61",".298","85","1.9"
"2013","NYM","2378","6207","5559","619","1318",".237",".306",".366",".672",".129","893","263","32","130","512","1384","114","35",".297","90","16.5"
"2013","MIA","2244","6021","5449","513","1257",".231",".293",".335",".627",".104","912","219","31","95","432","1232","78","29",".279","74","3.3"
