"Season","Team","G","PA","AB","R","H","AVG","OBP","SLG","OPS","ISO","1B","2B","3B","HR","BB","SO","SB","CS","wOBA","wRC+","WAR"
"2001","COL","2179","6394","5690","923","1663",".292",".354",".483",".837",".191","1065","324","61","213","511","1027","132","54",".357","95","26.5"
"2001","TEX","1897","6388","5685","890","1566",".275",".344",".471",".815",".195","971","326","23","246","548","1093","97","32",".349","108","22.4"
"2001","SEA","2043","6474","5680","927","1637",".288",".360",".445",".805",".157","1120","310","38","169","614","989","174","42",".347","116","44.4"
"2001","CLE","1901","6357","5600","897","1559",".278",".350",".458",".807",".179","1016","294","37","212","577","1076","79","41",".347","112","23.7"
"2001","HOU","2121","6325","5528","847","1500",".271",".347",".451",".798",".180","950","313","29","208","581","1119","64","49",".343","101","23.6"
"2001","SFG","2231","6408","5612","799","1493",".266",".342",".460",".802",".194","914","304","40","235","625","1090","57","42",".341","108","30.9"
"2001","OAK","1830","6385","5573","884","1469",".264",".345",".439",".784",".175","914","334","22","199","640","1021","68","29",".338","108","28.0"
"2001","CHW","1906","6151","5464","798","1463",".268",".334",".451",".785",".183","920","300","29","214","520","998","123","59",".337","104","23.0"
"2001","ARI","2180","6349","5595","818","1494",".267",".341",".442",".783",".175","967","284","35","208","587","1052","71","38",".336","97","26.0"
"2001","STL","2300","6177","5450","814","1469",".270",".339",".441",".780",".172","964","274","32","199","529","1089","91","35",".335","101","31.1"
"2001","BOS","2035","6264","5605","772","1493",".266",".334",".439",".773",".173","950","316","29","198","520","1131","46","35",".332","100","14.2"
"2001","MIN","1791","6185","5560","771","1514",".272",".337",".433",".770",".161","984","328","38","164","495","1083","146","67",".332","99","21.8"
"2001","NYY","1867","6233","5577","804","1488",".267",".334",".435",".769",".168","976","289","20","203","519","1035","161","52",".332","103","17.3"
"2001","CHC","2271","6219","5406","777","1409",".261",".336",".430",".766",".169","915","268","32","194","577","1077","67","36",".329","98","20.6"
"2001","TOR","1859","6284","5663","767","1489",".263",".325",".430",".755",".167","971","287","36","195","470","1094","156","55",".324","94","15.7"
"2001","FLA","2034","6184","5542","742","1461",".264",".326",".423",".749",".159","940","325","30","166","470","1145","89","40",".323","95","21.2"
"2001","LAD","2084","6169","5493","758","1399",".255",".323",".425",".748",".170","902","264","27","206","519","1062","89","42",".322","97","18.2"
"2001","SDP","2259","6278","5482","789","1379",".252",".336",".399",".735",".147","919","273","26","161","678","1273","129","44",".321","97","17.7"
"2001","PHI","2083","6219","5497","746","1431",".260",".329",".414",".743",".154","943","295","29","164","551","1125","153","47",".321","92","22.9"
"2001","CIN","2338","6222","5583","735","1464",".262",".324",".419",".744",".157","962","304","22","176","468","1172","103","54",".321","88","9.3"
"2001","MIL","2303","6148","5488","740","1378",".251",".319",".426",".745",".175","866","273","30","209","488","1399","66","36",".320","90","14.5"
"2001","ANA","1824","6226","5551","691","1447",".261",".327",".405",".732",".144","988","275","26","158","494","1001","116","52",".318","93","17.8"
"2001","ATL","2141","6152","5498","729","1432",".260",".324",".412",".736",".152","971","263","24","174","493","1039","85","46",".317","89","20.9"
"2001","DET","1841","6145","5537","724","1439",".260",".320",".409",".730",".150","949","291","60","139","466","972","133","61",".316","94","11.3"
"2001","KCR","1837","6176","5643","729","1503",".266",".318",".409",".727",".143","1037","277","37","152","406","898","100","42",".314","82","11.3"
"2001","TBD","1750","6104","5524","672","1426",".258",".320",".388",".707",".130","973","311","21","121","456","1116","115","52",".309","86","6.4"
"2001","NYM","2263","6156","5459","642","1361",".249",".323",".387",".710",".137","923","273","18","147","545","1062","66","48",".309","87","12.2"
"2001","MON","2165","6026","5379","670","1361",".253",".319",".396",".715",".143","882","320","28","131","478","1071","101","51",".309","79","1.0"
"2001","BAL","1839","6151","5472","687","1359",".248",".319",".380",".699",".131","937","262","24","136","514","989","133","53",".306","88","9.3"
"2001","PIT","2199","6027","5398","657","1333",".247",".313",".393",".706",".146","891","256","25","161","467","1106","93","73",".306","80","6.7"
