"Season","Team","G","PA","AB","R","H","AVG","OBP","SLG","OPS","ISO","1B","2B","3B","HR","BB","SO","SB","CS","wOBA","wRC+","WAR"
"2003","BOS","2313","6530","5769","961","1667",".289",".360",".491",".851",".202","1018","371","40","238","620","943","88","35",".364","120","32.6"
"2003","ATL","2362","6378","5670","907","1608",".284",".349",".475",".824",".192","1021","321","31","235","545","933","68","22",".354","112","35.6"
"2003","NYY","2180","6431","5605","877","1518",".271",".356",".453",".810",".182","970","304","14","230","684","1042","98","33",".351","115","26.5"
"2003","TOR","2278","6364","5661","894","1580",".279",".349",".455",".803",".175","1000","357","33","190","546","1081","37","25",".347","108","18.4"
"2003","STL","2391","6466","5672","876","1580",".279",".350",".454",".804",".175","1010","342","32","196","580","952","82","32",".346","109","34.4"
"2003","COL","2352","6283","5518","853","1472",".267",".344",".445",".790",".179","913","330","31","198","619","1134","63","37",".342","90","16.5"
"2003","TEX","2311","6293","5664","826","1506",".266",".330",".454",".784",".188","957","274","36","239","488","1052","65","25",".338","99","20.2"
"2003","CHW","2277","6148","5487","791","1445",".263",".331",".446",".777",".182","903","303","19","220","519","916","77","29",".336","101","22.5"
"2003","MIN","2269","6324","5655","801","1567",".277",".341",".431",".772",".154","1049","318","45","155","512","1027","94","44",".335","102","24.0"
"2003","HOU","2390","6320","5583","805","1466",".263",".336",".431",".767",".169","937","308","30","191","557","1021","66","30",".333","97","26.4"
"2003","PHI","2227","6333","5543","791","1448",".261",".343",".419",".762",".158","930","325","27","166","651","1155","72","29",".332","100","26.4"
"2003","KCR","2217","6239","5568","836","1526",".274",".336",".427",".763",".153","1037","288","39","162","476","926","120","42",".332","95","12.5"
"2003","SEA","2180","6281","5561","795","1509",".271",".344",".410",".754",".139","1047","290","33","139","586","989","108","37",".331","104","31.1"
"2003","PIT","2346","6315","5581","753","1492",".267",".338",".420",".758",".153","1009","275","45","163","529","1049","86","37",".331","97","21.0"
"2003","SFG","2272","6204","5456","755","1440",".264",".338",".425",".763",".161","950","281","29","180","593","980","53","37",".330","100","28.2"
"2003","FLA","2190","6186","5490","751","1459",".266",".333",".421",".754",".155","966","292","44","157","515","978","150","74",".327","99","23.4"
"2003","MIL","2293","6270","5548","714","1423",".256",".329",".419",".748",".163","937","266","24","196","547","1221","99","39",".325","93","9.6"
"2003","ANA","2286","6119","5487","736","1473",".268",".330",".413",".743",".144","1014","276","33","150","476","838","129","61",".323","96","20.2"
"2003","ARI","2319","6261","5570","717","1467",".263",".330",".417",".746",".153","965","303","47","152","531","1006","76","38",".323","86","7.7"
"2003","OAK","2197","6189","5497","768","1398",".254",".327",".417",".743",".162","881","317","24","176","556","898","48","14",".322","95","12.7"
"2003","CHC","2285","6187","5519","724","1431",".259",".323",".416",".739",".157","933","302","24","172","492","1158","73","31",".321","91","16.8"
"2003","SDP","2384","6246","5531","678","1442",".261",".333",".388",".721",".127","1025","257","32","128","565","1073","76","39",".318","95","22.4"
"2003","BAL","2196","6241","5665","743","1516",".268",".323",".405",".729",".138","1063","277","24","152","431","902","89","36",".318","94","15.6"
"2003","MON","2275","6116","5437","711","1404",".258",".326",".401",".727",".143","941","294","25","144","522","990","100","39",".316","85","9.6"
"2003","TBD","2223","6212","5654","715","1501",".265",".320",".404",".724",".139","1028","298","38","137","420","1030","142","42",".314","90","17.6"
"2003","CLE","2241","6188","5572","699","1413",".254",".316",".401",".717",".148","933","296","26","158","466","1062","86","61",".313","90","13.8"
"2003","CIN","2334","6211","5509","694","1349",".245",".318",".395",".713",".150","907","239","21","182","524","1326","80","34",".312","84","10.3"
"2003","NYM","2361","6007","5341","642","1317",".247",".314",".374",".688",".128","907","262","24","124","489","1035","70","31",".302","80","5.1"
"2003","DET","2278","6071","5466","591","1312",".240",".300",".375",".675",".135","919","201","39","153","443","1099","98","63",".296","80","-1.2"
"2003","LAD","2292","6036","5458","574","1328",".243",".303",".368",".671",".125","919","260","25","124","407","985","80","36",".294","78","10.2"
