"Season","Team","G","PA","AB","R","H","AVG","OBP","SLG","OPS","ISO","1B","2B","3B","HR","BB","SO","SB","CS","wOBA","wRC+","WAR"
"2018","BOS","2345","6302","5623","876","1509",".268",".339",".453",".792",".185","915","355","31","208","569","1253","125","31",".340","111","32.2"
"2018","NYY","2269","6271","5515","851","1374",".249",".329",".451",".781",".202","815","269","23","267","625","1421","63","21",".335","112","31.4"
"2018","LAD","2574","6358","5572","804","1394",".250",".333",".442",".774",".191","830","296","33","235","647","1436","75","24",".333","111","34.8"
"2018","CLE","2413","6300","5595","818","1447",".259",".332",".434",".766",".176","915","297","19","216","554","1189","135","36",".330","106","28.8"
"2018","OAK","2403","6255","5579","813","1407",".252",".325",".439",".764",".187","838","322","20","227","550","1381","35","21",".329","112","32.2"
"2018","HOU","2348","6146","5453","797","1390",".255",".329",".425",".754",".170","889","278","18","205","565","1197","71","26",".327","110","26.3"
"2018","WSN","2441","6288","5517","771","1402",".254",".335",".419",".753",".164","902","284","25","191","631","1289","119","33",".325","101","24.2"
"2018","COL","2368","6178","5541","780","1418",".256",".322",".435",".757",".179","886","280","42","210","507","1397","95","33",".325","88","16.8"
"2018","TBR","2371","6195","5475","716","1415",".258",".333",".406",".740",".148","948","274","43","150","540","1388","128","51",".322","107","23.6"
"2018","MIL","2496","6210","5542","754","1398",".252",".323",".424",".747",".172","904","252","24","218","537","1458","124","32",".322","100","28.0"
"2018","CHC","2490","6369","5624","761","1453",".258",".333",".410",".744",".152","966","286","34","167","576","1388","66","38",".321","100","25.6"
"2018","ATL","2377","6251","5582","759","1433",".257",".324",".417",".742",".161","915","314","29","175","511","1290","90","36",".319","96","25.3"
"2018","TOR","2435","6076","5477","709","1336",".244",".312",".427",".739",".183","783","320","16","217","499","1387","47","30",".319","101","13.2"
"2018","CIN","2402","6240","5532","696","1404",".254",".328",".401",".729",".148","956","251","25","172","559","1376","77","33",".317","94","16.6"
"2018","STL","2464","6200","5498","759","1369",".249",".321",".409",".730",".160","907","248","9","205","525","1380","63","32",".316","99","25.8"
"2018","TEX","2300","6163","5453","737","1308",".240",".318",".404",".722",".164","824","266","24","194","555","1484","74","35",".315","89","11.4"
"2018","LAA","2467","6108","5472","721","1323",".242",".313",".413",".726",".171","837","249","23","214","514","1300","89","22",".313","98","23.1"
"2018","MIN","2351","6154","5526","738","1379",".250",".318",".405",".723",".155","874","317","22","166","534","1328","47","27",".313","96","16.0"
"2018","SEA","2373","6087","5513","677","1402",".254",".314",".408",".722",".154","938","256","32","176","430","1221","79","37",".313","100","18.0"
"2018","PIT","2293","6066","5447","692","1381",".254",".317",".407",".725",".154","896","290","38","157","474","1229","70","38",".312","95","17.4"
"2018","PHI","2474","6136","5424","677","1270",".234",".314",".393",".707",".158","813","241","30","186","582","1520","69","26",".307","91","12.6"
"2018","ARI","2409","6157","5460","693","1283",".235",".310",".397",".707",".162","798","259","50","176","560","1460","79","25",".306","88","19.4"
"2018","NYM","2333","6177","5468","676","1282",".234",".312",".389",".701",".154","813","265","34","170","566","1404","71","39",".305","94","14.8"
"2018","CHW","2348","6071","5523","656","1332",".241",".302",".401",".703",".160","851","259","40","182","425","1594","98","41",".304","92","8.2"
"2018","KCR","2184","6063","5505","638","1350",".245",".305",".392",".697",".146","883","283","29","155","427","1310","117","38",".303","87","11.6"
"2018","BAL","2313","6034","5507","622","1317",".239",".298",".391",".689",".152","872","242","15","188","422","1412","81","22",".299","87","2.0"
"2018","DET","2323","6029","5494","630","1326",".241",".300",".380",".680",".138","872","284","35","135","428","1341","70","30",".295","83","6.2"
"2018","SDP","2380","6059","5486","617","1289",".235",".297",".380",".677",".145","847","250","30","162","471","1523","95","36",".294","84","8.2"
"2018","SFG","2412","6113","5541","603","1324",".239",".300",".368",".667",".129","906","255","30","133","448","1467","77","34",".290","82","6.2"
"2018","MIA","2434","6083","5488","589","1303",".237",".303",".357",".659",".119","929","222","24","128","455","1384","45","31",".289","83","10.5"
