"Season","Team","G","PA","AB","R","H","AVG","OBP","SLG","OPS","ISO","1B","2B","3B","HR","BB","SO","SB","CS","wOBA","wRC+","WAR"
"2020","ATL","900","2344","2074","348","556",".268",".349",".483",".832",".215","320","130","3","103","239","573","23","4",".355","120","11.0"
"2020","LAD","921","2316","2042","349","523",".256",".338",".483",".821",".227","302","97","6","118","228","471","29","8",".350","121","12.0"
"2020","NYM","902","2279","2023","286","551",".272",".348",".459",".807",".187","352","106","7","86","197","498","20","10",".347","123","10.4"
"2020","SDP","913","2231","1972","325","506",".257",".333",".466",".798",".209","296","103","12","95","204","479","55","13",".341","116","13.1"
"2020","NYY","878","2210","1915","315","473",".247",".342",".447",".789",".200","285","87","7","94","251","480","27","7",".341","117","9.9"
"2020","SFG","974","2259","2019","299","532",".263",".335",".451",".785",".187","330","107","14","81","195","499","19","8",".337","113","9.5"
"2020","PHI","875","2223","1948","306","500",".257",".342",".439",".781",".183","318","90","10","82","229","480","35","8",".336","108","6.6"
"2020","CHW","889","2267","2047","306","534",".261",".326",".453",".779",".192","338","94","6","96","179","571","20","8",".334","112","13.4"
"2020","BOS","884","2304","2083","292","552",".265",".330",".445",".775",".180","346","118","7","81","187","545","31","9",".333","106","7.1"
"2020","WSN","870","2218","1968","293","519",".264",".336",".433",".769",".170","329","112","12","66","192","451","33","12",".330","104","3.4"
"2020","LAA","890","2308","2020","294","501",".248",".332",".430",".763",".182","311","97","8","85","239","490","21","8",".329","108","8.3"
"2020","TOR","910","2263","2023","302","516",".255",".325",".441",".766",".186","320","104","4","88","203","508","33","6",".329","104","5.3"
"2020","TBR","946","2261","1975","289","470",".238",".328",".425",".753",".187","273","105","12","80","243","608","48","9",".325","111","9.9"
"2020","BAL","906","2242","2026","274","523",".258",".321",".429",".750",".171","337","102","7","77","164","514","19","14",".323","102","3.9"
"2020","MIN","882","2168","1937","269","468",".242",".315",".427",".743",".186","293","81","3","91","186","528","14","7",".319","101","9.5"
"2020","OAK","865","2201","1908","274","430",".225",".322",".396",".718",".171","257","91","11","71","238","524","26","3",".314","102","9.6"
"2020","CIN","889","2123","1842","243","390",".212",".312",".403",".715",".191","221","76","3","90","239","534","29","9",".312","88","4.4"
"2020","HOU","860","2229","1992","279","478",".240",".312",".408",".720",".168","294","103","12","69","192","440","22","11",".311","98","5.2"
"2020","CHC","908","2214","1918","265","422",".220",".318",".387",".705",".167","258","82","8","74","229","568","24","10",".309","90","8.1"
"2020","KCR","940","2200","1988","248","485",".244",".309",".402",".711",".158","313","97","7","68","172","527","49","20",".308","91","7.0"
"2020","MIA","904","2167","1935","263","472",".244",".319",".384",".703",".141","325","82","5","60","191","537","51","14",".308","95","3.6"
"2020","COL","888","2257","2057","275","528",".257",".311",".405",".716",".148","365","84","16","63","161","543","42","9",".307","77","2.9"
"2020","MIL","906","2188","1920","247","429",".223",".313",".389",".702",".166","266","83","5","75","221","582","15","11",".307","89","4.2"
"2020","STL","827","2011","1752","240","410",".234",".323",".371",".694",".137","279","73","7","51","205","477","18","10",".306","94","7.8"
"2020","ARI","862","2238","1997","269","482",".241",".312",".391",".704",".150","311","101","12","58","181","461","23","7",".306","87","4.8"
"2020","CLE","869","2247","1959","248","446",".228",".317",".372",".689",".144","286","96","5","59","239","517","25","10",".303","90","7.6"
"2020","DET","882","2076","1893","249","463",".245",".303",".397",".700",".152","311","78","12","62","147","567","19","6",".303","90","5.6"
"2020","SEA","843","2181","1929","254","435",".226",".309",".370",".678",".144","282","88","5","60","207","545","50","16",".298","91","5.4"
"2020","TEX","865","2147","1936","224","420",".217",".285",".364",".648",".147","269","80","9","62","167","548","49","14",".283","77","0.1"
"2020","PIT","873","2134","1932","219","425",".220",".284",".357",".641",".137","284","76","6","59","167","521","16","11",".279","73","0.9"
