"Season","Team","G","PA","AB","R","H","AVG","OBP","SLG","OPS","ISO","1B","2B","3B","HR","BB","SO","SB","CS","wOBA","wRC+","WAR"
"2017","HOU","2313","6271","5611","896","1581",".282",".346",".478",".823",".196","977","346","20","238","509","1087","98","42",".349","121","33.7"
"2017","CLE","2367","6234","5511","818","1449",".263",".339",".449",".788",".186","875","333","29","212","604","1153","88","23",".336","105","26.7"
"2017","NYY","2294","6354","5594","858","1463",".262",".339",".447",".785",".185","933","266","23","241","616","1386","90","22",".336","109","29.2"
"2017","COL","2374","6201","5534","824","1510",".273",".338",".444",".781",".171","987","293","38","192","519","1408","59","34",".332","88","13.8"
"2017","CHC","2420","6283","5496","822","1402",".255",".338",".437",".775",".182","876","274","29","223","622","1401","62","31",".331","101","26.8"
"2017","WSN","2322","6214","5553","819","1477",".266",".332",".449",".782",".183","920","311","31","215","542","1327","108","30",".331","99","24.4"
"2017","LAD","2464","6191","5408","770","1347",".249",".334",".437",".771",".188","794","312","20","221","649","1380","77","28",".330","104","33.3"
"2017","ARI","2360","6224","5525","812","1405",".254",".329",".445",".774",".190","832","314","39","220","578","1456","103","30",".329","95","19.7"
"2017","MIN","2324","6261","5557","815","1444",".260",".334",".434",".768",".174","921","286","31","206","593","1342","95","28",".329","103","26.0"
"2017","STL","2416","6219","5470","761","1402",".256",".334",".426",".760",".170","894","284","28","196","593","1348","81","31",".326","101","26.3"
"2017","CIN","2321","6213","5484","753","1390",".253",".329",".433",".761",".179","884","249","38","219","565","1329","120","39",".325","95","19.5"
"2017","MIA","2399","6248","5602","778","1497",".267",".331",".431",".761",".163","1001","271","31","194","486","1282","91","30",".325","101","27.9"
"2017","OAK","2350","6126","5464","739","1344",".246",".319",".436",".755",".190","790","305","15","234","565","1491","57","22",".323","103","17.5"
"2017","NYM","2396","6169","5510","735","1379",".250",".320",".434",".755",".184","841","286","28","224","529","1291","58","23",".322","101","22.7"
"2017","TEX","2268","6122","5430","799","1326",".244",".320",".430",".750",".186","813","255","21","237","544","1493","113","44",".321","90","10.1"
"2017","MIL","2423","6135","5467","732","1363",".249",".322",".429",".751",".180","850","267","22","224","547","1571","128","41",".321","94","17.3"
"2017","SEA","2323","6166","5551","750","1436",".259",".325",".424",".749",".165","938","281","17","200","487","1267","89","35",".321","103","21.6"
"2017","DET","2336","6150","5556","735","1435",".258",".324",".424",".748",".166","924","289","35","187","503","1313","65","34",".321","98","14.2"
"2017","BAL","2351","6140","5650","743","1469",".260",".312",".435",".747",".175","956","269","12","232","392","1412","32","13",".318","95","11.3"
"2017","BOS","2334","6338","5669","785","1461",".258",".329",".407",".736",".149","972","302","19","168","571","1224","106","31",".316","91","18.2"
"2017","ATL","2374","6216","5584","732","1467",".263",".326",".412",".738",".150","987","289","26","165","474","1184","77","31",".316","89","15.1"
"2017","TBR","2345","6147","5478","694","1340",".245",".317",".422",".739",".178","854","226","32","228","545","1538","88","34",".316","99","21.7"
"2017","CHW","2289","6059","5513","706","1412",".256",".314",".417",".731",".161","933","256","37","186","401","1397","71","31",".313","95","14.1"
"2017","KCR","2342","6027","5536","702","1436",".259",".311",".420",".731",".160","959","260","24","193","390","1166","91","31",".312","91","11.1"
"2017","TOR","2455","6154","5499","693","1320",".240",".312",".412",".724",".172","824","269","5","222","542","1327","53","24",".312","93","10.7"
"2017","PHI","2308","6133","5535","690","1382",".250",".315",".409",".723",".159","885","287","36","174","494","1417","59","25",".310","87","10.5"
"2017","LAA","2392","6073","5415","710","1314",".243",".315",".397",".712",".155","863","251","14","186","523","1198","136","44",".307","92","18.8"
"2017","PIT","2371","6136","5458","668","1331",".244",".318",".386",".704",".142","895","249","36","151","519","1213","67","36",".304","85","10.1"
"2017","SDP","2342","5954","5356","604","1251",".234",".299",".393",".692",".160","804","227","31","189","460","1499","89","33",".298","82","7.0"
"2017","SFG","2372","6137","5551","639","1382",".249",".309",".380",".689",".132","936","290","28","128","467","1204","76","34",".296","83","10.6"
