"Season","Team","G","PA","AB","R","H","AVG","OBP","SLG","OPS","ISO","1B","2B","3B","HR","BB","SO","SB","CS","wOBA","wRC+","WAR"
"2009","NYY","2369","6449","5660","915","1604",".283",".362",".478",".839",".194","1014","325","21","244","663","1014","111","28",".365","117","33.8"
"2009","BOS","2317","6344","5543","872","1495",".270",".352",".454",".806",".184","923","335","25","212","659","1120","126","39",".351","106","24.4"
"2009","LAA","2246","6305","5622","883","1604",".285",".350",".441",".792",".156","1105","293","33","173","547","1054","148","63",".346","108","29.1"
"2009","TBR","2345","6223","5462","803","1434",".263",".343",".439",".782",".177","902","297","36","199","642","1229","194","61",".342","109","35.1"
"2009","COL","2352","6241","5398","804","1408",".261",".343",".441",".784",".180","868","300","50","190","660","1277","106","55",".341","96","18.9"
"2009","PHI","2285","6338","5578","820","1439",".258",".334",".447",".781",".189","868","312","35","224","589","1155","119","28",".339","103","32.0"
"2009","MIN","2315","6346","5608","817","1539",".274",".345",".429",".774",".155","1056","271","40","172","585","1021","85","32",".338","104","22.4"
"2009","TOR","2202","6362","5696","798","1516",".266",".333",".440",".773",".174","955","339","13","209","548","1028","73","23",".337","101","19.5"
"2009","MIL","2321","6296","5510","785","1447",".263",".341",".426",".767",".164","947","281","37","182","610","1231","68","37",".336","103","24.6"
"2009","CLE","2188","6320","5568","773","1468",".264",".339",".417",".756",".153","965","314","28","161","582","1211","84","31",".333","100","14.5"
"2009","FLA","2394","6312","5572","772","1493",".268",".340",".416",".756",".148","1013","296","25","159","568","1226","75","35",".332","97","19.3"
"2009","LAD","2352","6385","5592","780","1511",".270",".346",".412",".758",".141","1049","278","39","145","607","1068","116","48",".332","102","27.4"
"2009","TEX","2158","6127","5526","784","1436",".260",".320",".445",".764",".185","889","296","27","224","472","1253","149","36",".331","92","19.0"
"2009","DET","2350","6234","5540","743","1443",".260",".331",".416",".747",".156","980","245","35","183","540","1114","72","33",".328","94","15.0"
"2009","BAL","2281","6233","5618","741","1508",".268",".332",".415",".747",".147","1022","307","19","160","517","1013","76","37",".328","93","11.6"
"2009","WSN","2401","6273","5493","710","1416",".258",".337",".406",".743",".148","951","271","38","156","617","1208","73","40",".327","96","15.1"
"2009","ATL","2335","6335","5539","735","1459",".263",".339",".405",".744",".142","990","300","20","149","602","1064","58","26",".327","97","22.2"
"2009","CHW","2241","6132","5463","724","1410",".258",".329",".411",".740",".153","960","246","20","184","534","1022","113","49",".326","91","8.6"
"2009","STL","2358","6168","5465","730","1436",".263",".332",".415",".747",".152","953","294","29","160","528","1041","75","31",".325","98","24.2"
"2009","CHC","2343","6244","5486","707","1398",".255",".332",".407",".738",".152","915","293","29","161","592","1185","56","34",".324","90","14.5"
"2009","ARI","2301","6269","5565","720","1408",".253",".324",".418",".742",".165","883","307","45","173","571","1298","102","40",".324","89","17.5"
"2009","OAK","2306","6247","5584","759","1464",".262",".328",".397",".726",".135","1001","307","21","135","527","1046","133","48",".320","94","14.6"
"2009","NYM","2377","6159","5453","671","1472",".270",".335",".394",".729",".124","1033","295","49","95","526","928","122","44",".320","94","12.8"
"2009","KCR","2247","6103","5532","686","1432",".259",".318",".405",".724",".146","961","276","51","144","457","1091","88","29",".318","88","2.2"
"2009","HOU","2340","6040","5436","643","1415",".260",".319",".400",".719",".140","971","270","32","142","448","990","113","44",".315","89","12.7"
"2009","CIN","2314","6187","5462","673","1349",".247",".318",".394",".712",".147","886","280","25","158","531","1129","96","40",".313","84","19.5"
"2009","SEA","2150","6113","5543","640","1430",".258",".314",".402",".716",".144","971","280","19","160","421","1093","89","33",".313","89","16.8"
"2009","PIT","2195","6058","5417","636","1364",".252",".318",".387",".705",".135","916","289","34","125","499","1142","90","32",".310","86","10.5"
"2009","SDP","2348","6179","5425","638","1315",".242",".321",".381",".701",".138","878","265","31","141","586","1182","82","29",".309","93","15.5"
"2009","SFG","2304","6057","5493","657","1411",".257",".309",".389",".699",".132","971","275","43","122","392","1158","78","28",".305","83","16.6"
