"Season","Team","G","PA","AB","R","H","AVG","OBP","SLG","OPS","ISO","1B","2B","3B","HR","BB","SO","SB","CS","wOBA","wRC+","WAR"
"2006","NYY","2430","6455","5651","930","1608",".285",".363",".461",".824",".177","1050","327","21","210","649","1053","139","35",".356","113","24.2"
"2006","TOR","2329","6241","5596","809","1591",".284",".348",".463",".811",".179","1017","348","27","199","514","906","65","33",".349","107","25.4"
"2006","CLE","2135","6303","5619","870","1576",".280",".349",".457",".806",".177","1002","351","27","196","556","1204","55","23",".347","108","21.2"
"2006","CHW","2286","6318","5657","868","1586",".280",".342",".464",".806",".184","1039","291","20","236","502","1056","93","48",".346","103","19.3"
"2006","PHI","2410","6509","5687","865","1518",".267",".347",".447",".794",".180","967","294","41","216","626","1203","92","25",".341","100","25.9"
"2006","BOS","2346","6435","5619","820","1510",".269",".351",".435",".786",".166","975","327","16","192","672","1056","51","23",".340","100","16.1"
"2006","ATL","2435","6284","5583","849","1510",".270",".337",".455",".791",".184","950","312","26","222","526","1169","52","35",".339","100","23.7"
"2006","TEX","2227","6273","5659","835","1571",".278",".338",".446",".784",".168","1008","357","23","183","505","1061","53","24",".337","97","15.9"
"2006","LAD","2384","6394","5628","820","1552",".276",".348",".432",".781",".157","1034","307","58","153","601","959","128","49",".337","101","20.7"
"2006","MIN","2226","6228","5602","801","1608",".287",".347",".425",".771",".138","1156","275","34","143","490","872","101","42",".334","101","22.7"
"2006","DET","2214","6198","5642","822","1548",".274",".329",".449",".777",".174","1011","294","40","203","430","1133","60","40",".334","99","21.8"
"2006","NYM","2279","6291","5558","834","1469",".264",".334",".445",".780",".181","905","323","41","200","547","1071","146","35",".334","99","28.1"
"2006","COL","2306","6348","5562","813","1504",".270",".341",".433",".774",".163","968","325","54","157","561","1108","85","50",".333","87","13.5"
"2006","CIN","2335","6296","5515","749","1419",".257",".336",".432",".768",".175","899","291","12","217","614","1192","124","33",".332","94","19.8"
"2006","BAL","2295","6240","5610","768","1556",".277",".339",".424",".763",".146","1084","288","20","164","474","878","121","32",".331","96","17.1"
"2006","STL","2359","6225","5522","781","1484",".269",".337",".431",".769",".163","981","292","27","184","531","922","59","32",".331","98","23.3"
"2006","FLA","2354","6191","5502","758","1454",".264",".331",".435",".766",".171","921","309","42","182","497","1249","110","58",".329","96","20.2"
"2006","OAK","2197","6281","5500","771","1429",".260",".340",".412",".752",".152","966","266","22","175","650","976","61","20",".328","97","16.5"
"2006","LAA","2264","6221","5609","766","1539",".274",".334",".425",".759",".150","1042","309","29","159","486","914","148","57",".327","95","17.0"
"2006","WSN","2430","6283","5495","746","1437",".262",".338",".418",".756",".156","929","322","22","164","594","1156","123","62",".327","96","19.5"
"2006","ARI","2282","6330","5645","773","1506",".267",".331",".424",".755",".157","977","331","38","160","504","965","76","30",".326","87","10.8"
"2006","SDP","2396","6287","5576","731","1465",".263",".332",".416",".749",".154","968","298","38","161","564","1104","123","31",".325","99","26.1"
"2006","KCR","2272","6229","5589","757","1515",".271",".332",".411",".743",".140","1019","335","37","124","474","1040","65","34",".323","92","18.3"
"2006","SEA","2259","6213","5670","756","1540",".272",".325",".424",".749",".153","1060","266","42","172","404","974","106","37",".322","95","19.7"
"2006","MIL","2206","6130","5433","730","1400",".258",".327",".420",".747",".162","899","301","20","180","502","1233","71","37",".322","89","15.9"
"2006","HOU","2393","6326","5521","735","1407",".255",".332",".409",".741",".154","931","275","27","174","585","1076","79","36",".322","90","19.7"
"2006","CHC","2399","6147","5587","716","1496",".268",".319",".422",".741",".154","1013","271","46","166","395","928","121","49",".320","84","13.7"
"2006","SFG","2313","6136","5472","746","1418",".259",".324",".422",".746",".163","906","297","52","163","494","891","58","25",".320","88","15.7"
"2006","TBD","2247","6041","5474","689","1395",".255",".314",".420",".733",".165","905","267","33","190","441","1106","134","52",".316","89","10.3"
"2006","PIT","2325","6218","5558","691","1462",".263",".327",".397",".723",".134","1018","286","17","141","459","1200","68","23",".315","86","7.7"
