"Season","Team","G","PA","AB","R","H","AVG","OBP","SLG","OPS","ISO","1B","2B","3B","HR","BB","SO","SB","CS","wOBA","wRC+","WAR"
"2008","TEX","2281","6478","5728","901","1619",".283",".354",".462",".816",".179","1014","376","35","194","595","1207","81","25",".355","112","23.5"
"2008","BOS","2293","6402","5596","845","1565",".280",".358",".447",".805",".168","1006","353","33","173","646","1068","120","35",".351","110","32.9"
"2008","CHC","2345","6384","5588","855","1552",".278",".354",".443",".797",".165","1018","329","21","184","636","1186","87","34",".349","104","30.1"
"2008","DET","2267","6331","5641","821","1529",".271",".340",".444",".784",".173","995","293","41","200","572","1076","63","31",".343","106","16.8"
"2008","STL","2396","6370","5636","779","1585",".281",".350",".433",".783",".152","1102","283","26","174","577","985","73","32",".342","107","34.0"
"2008","CHW","2298","6231","5553","811","1458",".263",".332",".448",".780",".185","914","296","13","235","540","1016","67","34",".339","101","15.5"
"2008","NYY","2330","6257","5572","789","1512",".271",".342",".427",".769",".156","1023","289","20","180","535","1015","118","39",".338","104","21.3"
"2008","TBR","2299","6312","5541","774","1443",".260",".340",".422",".762",".162","942","284","37","180","626","1224","142","50",".335","105","29.2"
"2008","CLE","2199","6299","5543","805","1455",".262",".339",".424",".763",".162","923","339","22","171","560","1213","77","29",".334","103","24.0"
"2008","PHI","2396","6273","5509","799","1407",".255",".332",".438",".770",".182","866","291","36","214","586","1117","136","25",".334","98","32.8"
"2008","BAL","2340","6211","5559","782","1486",".267",".333",".429",".762",".162","962","322","30","172","533","990","81","37",".333","99","19.0"
"2008","NYM","2405","6388","5606","799","1491",".266",".340",".420",".761",".154","1007","274","38","172","619","1024","138","36",".332","100","28.9"
"2008","ATL","2407","6368","5604","753","1514",".270",".345",".408",".753",".138","1035","316","33","130","618","1023","58","27",".332","99","24.5"
"2008","COL","2310","6312","5557","747","1462",".263",".336",".415",".751",".152","964","310","28","160","570","1209","141","37",".330","88","8.1"
"2008","FLA","2361","6206","5499","770","1397",".254",".326",".433",".759",".179","859","302","28","208","543","1371","76","28",".330","96","18.5"
"2008","MIL","2227","6252","5535","750","1398",".253",".325",".431",".757",".179","841","324","35","198","550","1203","108","38",".329","97","24.6"
"2008","MIN","2287","6331","5641","829","1572",".279",".340",".408",".748",".129","1114","298","49","111","529","979","102","42",".328","99","19.3"
"2008","LAA","2229","6155","5540","765","1486",".268",".330",".413",".743",".145","1028","274","25","159","481","987","129","48",".324","96","17.6"
"2008","ARI","2280","6156","5409","720","1355",".251",".327",".415",".742",".164","831","318","47","159","587","1287","58","23",".324","88","9.5"
"2008","HOU","2312","6051","5451","712","1432",".263",".323",".415",".737",".152","959","284","22","167","449","1051","114","52",".322","93","23.3"
"2008","TOR","2244","6191","5503","714","1453",".264",".331",".399",".731",".135","992","303","32","126","521","938","80","27",".322","94","17.3"
"2008","LAD","2376","6194","5506","700","1455",".264",".333",".399",".732",".134","1018","271","29","137","543","1032","126","43",".321","93","16.7"
"2008","CIN","2392","6188","5465","704","1351",".247",".321",".408",".729",".161","871","269","24","187","560","1125","85","47",".319","87","13.8"
"2008","PIT","2340","6278","5628","735","1454",".258",".320",".403",".723",".145","966","314","21","153","474","1039","57","19",".317","89","6.3"
"2008","KCR","2250","6118","5608","691","1507",".269",".320",".397",".717",".128","1056","303","28","120","392","1005","79","38",".315","87","7.4"
"2008","SDP","2343","6244","5568","637","1390",".250",".317",".390",".707",".140","945","264","27","154","518","1259","36","17",".311","92","13.8"
"2008","SEA","2296","6176","5643","671","1498",".265",".318",".389",".707",".124","1069","285","20","124","417","890","90","32",".310","90","7.6"
"2008","WSN","2397","6192","5491","641","1376",".251",".323",".373",".696",".122","964","269","26","117","534","1095","81","43",".310","84","8.5"
"2008","SFG","2382","6145","5543","640","1452",".262",".321",".382",".703",".120","1010","311","37","94","452","1044","108","46",".309","83","10.3"
"2008","OAK","2282","6138","5451","646","1318",".242",".318",".369",".686",".127","900","270","23","125","574","1226","88","21",".306","86","14.7"
